FEN
8/6Q1/1p6/2b1p2k/P3P1Pp/2P2P1P/1P2n2K/3q4 b - - 0 3
r6r/4p2k/2bpp2R/6Q1/p2pP1P1/3P3P/PPq5/3R3K b - - 3 3
4Q3/4k1p1/3Np2p/2P1P3/1p4Pb/1P5P/1qr5/6K1 b - - 3 3
r6k/pp3p1p/5B2/8/4N3/7P/qPP5/2K3R1 b - - 3 3
2q1r1kr/6R1/1p2N3/5p2/1P1p4/8/7P/6K1 b - - 0 3
r6k/ppp4Q/3pqN2/8/3P4/8/PPP3P1/2K5 b - - 0 3
r6Q/1b2rkR1/pp1q1p2/2np4/P1n5/2N5/1PP3PP/4R2K b - - 3 3
rqbk1b1r/p3pNpp/2Q2p2/8/4PP2/8/PP4PP/R1B2K1R b - - 0 3
5Q2/p6p/6p1/2R2p1k/6PP/1P6/P1p2P2/3qrBK1 b - - 0 1
1R6/pk2q3/5p2/1P2B3/8/8/1K6/8 b - - 3 3
r2q1bnr/pppbk1p1/5pB1/2BPp3/8/2P2N2/PP4PP/RN2K2R b - - 2 3
r4Br1/p1q2p1k/1p5R/3pP2p/8/2p5/P1P1NPPP/6K1 b - - 1 3
k6r/8/pPB5/5p1q/5Bn1/6P1/5P2/6K1 b - - 0 3
5K1k/5N1p/8/5p2/8/8/8/8 b - - 1 3
3q2rk/6p1/5pp1/8/7R/8/6PP/7K b - - 1 3
4Q1k1/6pp/1p6/6r1/P7/1P6/5RPP/6K1 b - - 0 3
r5nr/p4ppp/p2Q1k2/4p1q1/4P3/2P5/5PPP/1N3RK1 b - - 0 3
2r1q1r1/8/p2pN1pk/1p6/4P2R/8/PnP4P/1K6 b - - 0 3
